id;name;dir
46936;Куроива Мэдака не понимает моей привлекательности;my-cuteness-isnt-understood-by-kuroiwa-medaka
47109;У брошенной жены  новый муж;
4777;Пожалуйста, оденься, Такамине-сан!;please-get-dressed-takaminesan
47834;Только троньте моего братика, и всем вам конец;if-you-touch-my-brother-you-are-all-dead
4837;Идеальная половинка;
48584;Тайны, Девицы и Мистические Исчезновения;
49310;В поисках Камелии;
49525;Маленькая мусорная русалочка;the-little-trashmaid
49972;Прежде всего, давайте спрячем моего младшего брата;first-of-all-lets-hide-from-the-younger-brother
50249;Это секрет для моей матери;
504;Ганц;
5053;Гомункул;homunculus
50545;Общежитие нуны;
507;Огненный удар;fire_punch
50868;Постройка отношений;
510;Розарио и вампир;rosario_to_vampire
52192;Эта девушка милая... но опасная?;that-girl-is-cute-but-dangerous
522;Боец Баки;baki_the_grappler
526;Бойцы будут высланы!;combatants_will_be_dispatched
542;Лепестки реинкарнации;petals_of_reincarnation
5441;Пламенный взор Шаны;shana-of-the-burning-eyes
5522;Моя первая Гяру;hajimete-no-gal
56050;Я женился на однокласснице, которую ненавидел;im-getting-married-to-a-girl-i-hate-in-my-class
56495;История моего заключения неизвестной старшеклассницей;the-story-of-when-i-was-confined-by-an-unknown-high-school-girl
56874;Мелодия мертвого леса;dry-branch-rag
575;Повседневная жизнь извращенки;
5760;Развращенная гильдия;guild-of-depravity
57744;Моя фальшивая девушка, использует меня, как щит;my-fake-girlfriend-uses-me-as-a-shield
5810;Больше чем пара, меньше чем любовники;more-than-a-couple-less-than-lovers
58430;Я вырастила чёрного дракона;i-brought-up-a-black-dragn
59301;Мой милый тренер;
59521;Расцвет Принца;
59699;Неужели в инженерном колледже нет богинь?;
59905;Если это семья, то все нормально;
60014;Система повышения харизмы;charm-point-ful-of-opening-points
60136;Что мне теперь делать?;
60350;Наказание моей рабыни эльфийки;
605;У Коми-сан проблемы с общением;miss_komi_is_bad_at_communication
607;Красавица-воин Сейлор Мун;pretty_guardian_sailor_moon
60832;Первородный грех Такопи;takopis-original-sin
60872;Сегодня на ужин у нас ты;
614;Аниме Синяя Тюрьма: Блю Лок;
61446;Темный эльф с немного подавляющей любовью...;a-dark-elf-with-a-slightly-overwhelming-love-chased
61815;Заботы принцессы вампиров - хикикомори;
61948;Занятия по изучению секса;
62730;Горизонт;the-horizon
6314;Королева красоты;
63297;Гипнотизирую мир по своему желанию!;
63512;Дети семьи Сиундзи;
63681;Главный герой — злодей!;
63768;Студенческая жизнь начинается с клуба;
63823;Секс-группа;
643;Спокойной ночи, Пунпун;goodnight_punpun
65006;Дебби Корсифа не любит проигрывать;debby-the-corsifa-is-emulous
653;Боевая академия города Астериск;the_asterisk_war_the_academy_city_on_the_water
654;Подручный бездарной Луизы;zeros_familiar
65801;РАЗРЯДКА;
65832;Мамочки из детского кафе;
65964;Имбовая деревянная дубинка 99-го Уровня;99-reinfored-wood-stick
66139;Переродившись, я буду флиртовать с девушками разных рас;
66162;Старшекурсницы с факультета хореографии;
6625;Непутёвый ученик в школе магии: Поступление;the-irregular-at-magic-high-school
66632;Дом Имаидзуми - место, где тусуются Гяру [Экстры];imaizumins-house-is-a-place-for-gals-to-gather-pixiv-extra
66633;Дом Имаидзуми - место, где тусуются Гяру;imaizumins-house-is-a-place-for-gals-to-gather
66859;Этот брак обречен на провал;
66878;Мне нужна ты, нуна!;
67023;Виртуальная любовь;
671;Абсолютный дуэт;absolute_duo
67102;Система сильнейшего патриарха;i-am-a-son-relying-on-my-father
67121;Исповедь Демона;
676;Утраченное небесами;lost_property_of_the_sky
68083;Галактика по соседству;otonari-ni-ginga
68698;Я буду контролировать тебя;
695;Танец клинка;seirei_tsukai_no_blade_dance_hyouju_issei
69676;Прошу вас, господин спонсор;
69715;Одержимый Академией Ягаме;
70799;Секс часы;
71603;Освобождение её от оков;
72;Маг-целитель: новый старт ~ Высшее исцеление: чары моментальной смерти и кража умений;
72272;Колизей реинкарнации;
72426;Приложение для гипноза оказалось подделкой?;
72706;Я обзавёлся богатенькой мамашей в обратном мире;
73032;Зятёк;
73160;Береги попку ♡;
7324;Лентяйка Габриэль;gabriel-dropout
7331;Летнее время;summer-time-render
73722;Стажер Хэнё;
74231;Я стала рабыней главного злодея новеллы;
7455;Моя возлюбленная забыла свои очки;gebetanku-lupa-kacamatanya
74570;Набор подписчиков!;
74735;Мир без мужчин;a-different-world-without-men
74806;Двухъярусная кровать;bunk-bed
74889;Зависимость от домогательств;
75006;Мы снова встретились;meet-you-again
75022;История переулка;
75547;Локи, где мой Мьёльнир?;
75601;С этого дня давай останемся друзьями;
75716;Моя мама заключила брак по контракту;mother-married
759;Домекано;domestic_girlfriend
76030;Рыцарь, ставший рабом эльфов;
76141;Смышлёный ученик;
768;Ящик Медаки;medaka_box
770;Демон, который стал моей сестрой;
77400;Я был куплен Королем Демонов прямо перед финалом!;
77802;Молочное кафе;
77837;Убежать от охотника;
78153;Невероятные приключения ДжоДжо — Часть 9: ДжоДжоЛендс;jojo-no-kimyou-na-bouken-part-9-the-jojolands
78491;Чужой Сын;
79186;Девочка-Самоубийца;
79629;Прямая трансляция с милашкой;
79737;Секс-туберша Тами;
80064;Женский университет;
80884;Секрет общественной бани;
8224;Заказывали кролика?;is-the-order-a-rabbit
82256;Жизнь без сожалений;a-life-without-regrets
82354;Лжец, Лжец;liar-liar
8258;Призрак скорби хочет уйти в отставку — Сильнейшая методика групповой подготовки от самого слабого охотника;the-wailing-ghost-retired-strongest-party-training-technique-by-the-weakest-hunter
82814;Жизнь с двумя большегрудыми девушками;
83;Арифурэта: Сильнейший ремесленник в мире;from_common_job_class_to_the_strongest_in_the_world
83022;Зависимость от мачехи;
83372;Сеульские дети в наши дни;
8359;Код Лилит;
84190;Пищевая цепь;
84354;Семнадцатый наследник;
84490;Желание дьявола;
8569;Песнь Теодора;
859;Очень просто и очень запутано;so_pure_so_flirtatious
86335;[Потусторонний фрагмент] Потустороннее признание;
86449;[Потусторонний фрагмент] Потусторонний воин;
86577;Человек-невидимка;
8700;Секс и Подземелье;
87427;Клыки, пронзающие сердце;
87910;Что не так с этой семьёй?;
87999;Я спасусь от цветка испытаний;
88;Твоё имя;
88029;Тайны мачехи;
8813;Бессмертный мечник в обратном мире;immortal-swordsman-in-the-reverse-world
88201;Непревзойдённый шеф-повар в Муриме;jegalse-will-bring-in-a-soninlaw-with-a-bowl-of-jjajang
88213;Хулиганский роман;bully-romance
88251;У меня мало друзей!;i-dont-have-many-friends
88651;Дочь злодея планирует сбежать;the-villains--a-daughter-plans-to-run-away
8935;Сведённые кукушкой;kakkou-no-iinazuke
8936;Алые глаза;pupillary-master
89386;Мехадева История Милосердных;shoujo-juuki--maria-children
89430;Фростпанк  Детский труд;frostpunk--child-labour
90369;Отель Хазбин  Охотник;otel-hazbin--ohotnik
90436;Богиня жаждет игр;gods-games-we-play
910;Не скрывая крик;
9231;Изменщик должен умереть;
927;Хеллсинг;hellsing
92902;Девочка-волшебница Мадока;madokamagica
